REL_NUM_COMP_ALUNOS;ID_MOD_ATIV_COMPLEMENTAR;IDADE_MESES;TP_SEXO;TP_COR_RACA_PRETA;ID_ZONA_RESIDENCIAL;ID_N_T_E_P;EVADIU;filter_$
65;0;188;1;0;1;1;0;1
65;0;207;1;0;0;0;0;0
65;0;193;1;0;0;0;0;0
65;0;199;0;0;0;0;1;0
65;0;192;0;0;0;0;0;0
65;0;201;0;0;1;1;0;1
65;0;187;1;0;1;1;0;0
65;0;191;0;0;1;1;0;0
65;0;182;0;0;1;1;0;0
65;0;188;0;0;1;1;0;0
42;0;188;1;0;1;1;0;1
136;0;199;0;0;1;1;0;0
136;0;207;0;0;0;0;0;0
136;0;230;1;0;1;0;0;1
144;1;193;0;0;1;1;0;0
69;0;192;0;0;0;0;0;0
69;0;195;1;0;0;0;0;0
74;0;203;1;0;0;0;0;0
74;0;195;0;0;0;0;0;0
74;0;194;0;0;1;1;0;0
65;0;203;0;0;0;0;0;0
42;0;212;1;0;0;0;0;0
42;0;183;0;0;0;0;0;0
42;0;198;1;0;0;0;0;1
65;0;197;0;0;0;0;0;1
65;0;203;1;0;0;0;0;1
65;0;186;0;0;1;1;0;0
69;0;190;0;0;1;1;0;0
69;0;192;1;0;1;1;0;1
69;0;189;0;0;0;0;0;0
69;0;186;0;0;1;1;1;0
69;0;186;0;0;1;1;0;0
69;0;215;0;0;1;1;0;0
69;0;207;1;0;1;1;0;0
74;0;214;0;0;0;0;0;0
74;0;184;1;0;1;1;1;1
69;0;247;0;0;0;0;0;1
69;0;197;1;0;0;0;0;0
69;0;211;1;0;0;0;0;0
69;0;214;0;0;1;1;0;0
76;0;190;0;0;0;0;0;1
76;0;192;0;0;1;1;0;0
241;1;204;0;0;0;0;0;1
136;0;200;1;0;1;0;1;0
38;0;187;0;0;0;0;0;0
38;0;190;1;0;1;1;0;1
38;0;176;1;0;0;0;0;0
38;0;197;1;0;0;0;0;1
38;0;202;1;0;0;0;0;0
74;0;221;1;0;1;1;0;0
65;0;336;0;0;0;0;1;0
65;0;202;0;0;1;1;1;0
65;0;198;0;0;0;0;0;1
161;0;219;0;0;0;1;0;0
161;0;196;1;0;0;0;0;0
38;0;202;1;0;0;0;0;0
38;0;203;0;0;0;0;0;1
38;0;184;1;0;0;0;0;0
241;1;206;1;0;0;0;0;0
241;1;202;1;0;0;1;0;0
136;0;189;0;0;1;1;0;0
136;0;212;1;0;1;1;0;0
369;1;180;1;0;0;0;0;0
369;1;202;0;0;1;1;1;0
241;1;242;0;0;0;1;0;0
